Поисковые запросы
9 авг. 2026 - 7 сент. 2026
Поисковый запрос,Тип соответствия,Добавленные/Исключенные,Кампания,Группа объявлений,Kлики,Показы,CTR,Код валюты,Ср. цена за клик,Расходы,Тип кампании,Коэфф. конверсии,Конверсии,Стоимость/конв.
flower delivery springfield mo,Точное соответствие,Не используется,Search | Flower Delivery,Delivery,22,410,"5,37%",USD,"2,00","44,10",Поиск,"18,18%","4,00","11,03"
same day flower delivery springfield,Фразовое соответствие (близкий вариант),Не используется,Search | Flower Delivery,Delivery,16,300,"5,33%",USD,"2,10","33,60",Поиск,"18,75%","3,00","11,20"
bloomline flowers,Точное соответствие,Не используется,Search | Flower Delivery,Brand,9,120,"7,50%",USD,"0,70","6,30",Поиск,"22,22%","2,00","3,15"
wedding florist branson mo,Фразовое соответствие (близкий вариант),Не используется,Search | Wedding Flowers,Weddings,11,190,"5,79%",USD,"2,70","29,70",Поиск,"18,18%","2,00","14,85"
free delivery flowers springfield,Широкое соответствие,Не используется,Search | Flower Delivery,Delivery,7,160,"4,38%",USD,"1,80","12,60",Поиск,"14,29%","1,00","12,60"
flower delivery near me,Фразовое соответствие (близкий вариант),Не используется,Search | Flower Delivery,Delivery,18,520,"3,46%",USD,"2,20","39,60",Поиск,"0,00%","0,00","0,00"
flower shop open now,Широкое соответствие,Не используется,Search | Flower Delivery,Delivery,12,380,"3,16%",USD,"2,00","24,00",Поиск,"0,00%","0,00","0,00"
best florist near me,Фразовое соответствие (близкий вариант),Не используется,Search | Flower Delivery,Delivery,9,260,"3,46%",USD,"2,20","19,80",Поиск,"0,00%","0,00","0,00"
order flowers online,Широкое соответствие,Не используется,Search | Flower Delivery,Delivery,14,470,"2,98%",USD,"2,00","28,00",Поиск,"0,00%","0,00","0,00"
bouquet delivery today,Фразовое соответствие (близкий вариант),Не используется,Search | Flower Delivery,Delivery,6,210,"2,86%",USD,"2,20","13,20",Поиск,"0,00%","0,00","0,00"
wedding flower packages,Широкое соответствие,Не используется,Search | Wedding Flowers,Weddings,8,240,"3,33%",USD,"2,70","21,60",Поиск,"0,00%","0,00","0,00"
florist for wedding ceremony,Фразовое соответствие (близкий вариант),Не используется,Search | Wedding Flowers,Weddings,5,170,"2,94%",USD,"2,80","14,00",Поиск,"0,00%","0,00","0,00"
free flowers giveaway,Широкое соответствие,Не используется,Search | Flower Delivery,Delivery,4,190,"2,11%",USD,"1,30","5,20",Поиск,"0,00%","0,00","0,00"
free flower delivery coupon,Широкое соответствие,Не используется,Search | Flower Delivery,Delivery,3,150,"2,00%",USD,"1,30","3,90",Поиск,"0,00%","0,00","0,00"
florist jobs springfield,Широкое соответствие,Не используется,Search | Flower Delivery,Delivery,6,240,"2,50%",USD,"1,30","7,80",Поиск,"0,00%","0,00","0,00"
flower shop jobs hiring,Широкое соответствие,Не используется,Search | Flower Delivery,Delivery,5,200,"2,50%",USD,"1,30","6,50",Поиск,"0,00%","0,00","0,00"
florist salary per hour,Широкое соответствие,Не используется,Search | Flower Delivery,Delivery,4,180,"2,22%",USD,"1,20","4,80",Поиск,"0,00%","0,00","0,00"
how to make a bouquet,Широкое соответствие,Не используется,Search | Wedding Flowers,Weddings,9,610,"1,48%",USD,"1,10","9,90",Поиск,"0,00%","0,00","0,00"
diy wedding centerpieces,Широкое соответствие,Не используется,Search | Wedding Flowers,Weddings,11,720,"1,53%",USD,"1,20","13,20",Поиск,"0,00%","0,00","0,00"
wholesale flowers bulk order,Широкое соответствие,Не используется,Search | Wedding Flowers,Weddings,7,330,"2,12%",USD,"2,20","15,40",Поиск,"0,00%","0,00","0,00"
wholesale roses distributor,Широкое соответствие,Не используется,Search | Wedding Flowers,Weddings,5,280,"1,79%",USD,"2,20","11,00",Поиск,"0,00%","0,00","0,00"
used wedding decor,Широкое соответствие,Не используется,Search | Wedding Flowers,Weddings,3,140,"2,14%",USD,"1,50","4,50",Поиск,"0,00%","0,00","0,00"
floral design course online,Широкое соответствие,Не используется,Search | Wedding Flowers,Weddings,6,350,"1,71%",USD,"1,40","8,40",Поиск,"0,00%","0,00","0,00"
wedding flower checklist template,Широкое соответствие,Не используется,Search | Wedding Flowers,Weddings,4,260,"1,54%",USD,"1,30","5,20",Поиск,"0,00%","0,00","0,00"
flower arrangement pdf download,Широкое соответствие,Не используется,Search | Wedding Flowers,Weddings,3,210,"1,43%",USD,"1,20","3,60",Поиск,"0,00%","0,00","0,00"
rose meaning wikipedia,Широкое соответствие,Не используется,Search | Flower Delivery,Delivery,2,300,"0,67%",USD,"1,10","2,20",Поиск,"0,00%","0,00","0,00"
artificial flowers cheap,Широкое соответствие,Не используется,Search | Flower Delivery,Delivery,5,240,"2,08%",USD,"1,20","6,00",Поиск,"0,00%","0,00","0,00"
1-800-flowers delivery,Фразовое соответствие (близкий вариант),Не используется,Search | Flower Delivery,Competitors,13,290,"4,48%",USD,"2,70","35,10",Поиск,"0,00%","0,00","0,00"
teleflora same day,Фразовое соответствие (близкий вариант),Не используется,Search | Flower Delivery,Competitors,10,240,"4,17%",USD,"2,70","27,00",Поиск,"0,00%","0,00","0,00"
ftd flowers coupon,Фразовое соответствие (близкий вариант),Не используется,Search | Flower Delivery,Competitors,8,200,"4,00%",USD,"2,60","20,80",Поиск,"0,00%","0,00","0,00"
proflowers reviews,Фразовое соответствие (близкий вариант),Не используется,Search | Flower Delivery,Competitors,6,170,"3,53%",USD,"2,60","15,60",Поиск,"0,00%","0,00","0,00"
flower delivery chicago,Фразовое соответствие (близкий вариант),Не используется,Search | Flower Delivery,Delivery,9,260,"3,46%",USD,"2,50","22,50",Поиск,"0,00%","0,00","0,00"
florist in texas,Широкое соответствие,Не используется,Search | Flower Delivery,Delivery,7,220,"3,18%",USD,"2,40","16,80",Поиск,"0,00%","0,00","0,00"
same day flowers seattle,Фразовое соответствие (близкий вариант),Не используется,Search | Flower Delivery,Delivery,6,190,"3,16%",USD,"2,40","14,40",Поиск,"0,00%","0,00","0,00"
wedding florist new york,Фразовое соответствие (близкий вариант),Не используется,Search | Wedding Flowers,Weddings,5,160,"3,12%",USD,"2,70","13,50",Поиск,"0,00%","0,00","0,00"
flower delivery springfield,Точное соответствие,Добавлено,Search | Flower Delivery,Delivery,20,380,"5,26%",USD,"2,00","40,00",Поиск,"15,00%","3,00","13,33"
cheap plastic flowers,Широкое соответствие,Исключено,Search | Flower Delivery,Delivery,1,90,"1,11%",USD,"1,10","1,10",Поиск,"0,00%","0,00","0,00"
flower delivery jobs,Широкое соответствие,Исключено,Search | Flower Delivery,Delivery,2,120,"1,67%",USD,"1,20","2,40",Поиск,"0,00%","0,00","0,00"
flowers springfield,Максимальная эффективность,Не используется,PMax | All Products,,12,640,"1,88%",USD,"1,20","14,40",Максимальная эффективность,"16,67%","2,00","7,20"
send flowers today,Максимальная эффективность,Не используется,PMax | All Products,,9,520,"1,73%",USD,"1,20","10,80",Максимальная эффективность,"11,11%","1,00","10,80"
rose bouquet delivery,Максимальная эффективность,Не используется,PMax | All Products,,7,430,"1,63%",USD,"1,20","8,40",Максимальная эффективность,"0,00%","0,00","0,00"
florist near branson,Максимальная эффективность,Не используется,PMax | All Products,,6,380,"1,58%",USD,"1,20","7,20",Максимальная эффективность,"0,00%","0,00","0,00"
anniversary flowers,Максимальная эффективность,Не используется,PMax | All Products,,5,310,"1,61%",USD,"1,20","6,00",Максимальная эффективность,"0,00%","0,00","0,00"
